Drug,Hour,Organ,Conc_umol_L,Kp
Donepezil,5.307,lung,189.76187025,151.5305
Donepezil,5.307,liver,822.69765434,1129.0157
Donepezil,5.307,kidney,65.09784844,55.5137
Donepezil,5.307,muscle,23.88726883,20.3376
Donepezil,5.307,fat,21.91097831,171080.2988
Donepezil,5.307,brain,618.34234764,3081.7684
Donepezil,5.307,gut,818.92252483,413.6185
Donepezil,5.548,blood,1.38793656,1.0
Donepezil,5.548,lung,183.23015847,151.5305
Donepezil,5.548,liver,827.25184314,1129.0157
Donepezil,5.548,kidney,63.27485851,55.5137
Donepezil,5.548,muscle,23.86810169,20.3376
Donepezil,5.548,fat,22.20280063,171080.2988
Donepezil,5.548,brain,625.38885293,3081.7684
Donepezil,5.548,gut,798.58110636,413.6185
Donepezil,5.789,blood,1.35519598,1.0
Donepezil,5.789,lung,177.48887194,151.5305
Donepezil,5.789,liver,831.44174948,1129.0157
Donepezil,5.789,kidney,61.64879971,55.5137
Donepezil,5.789,muscle,23.83868476,20.3376
Donepezil,5.789,fat,22.48744965,171080.2988
Donepezil,5.789,brain,632.20713955,3081.7684
Donepezil,5.789,gut,778.75223874,413.6185
Donepezil,6.03,blood,1.32562599,1.0
Donepezil,6.03,lung,172.41198563,151.5305
Donepezil,6.03,liver,835.30270682,1129.0157
Donepezil,6.03,kidney,60.18947939,55.5137
Donepezil,6.03,muscle,23.80026714,20.3376
Donepezil,6.03,fat,22.76563894,171080.2988
Donepezil,6.03,brain,638.81874087,3081.7684
Donepezil,6.03,gut,759.47179118,413.6185
Donepezil,6.271,blood,1.29875326,1.0
Donepezil,6.271,lung,167.89513044,151.5305
Donepezil,6.271,liver,838.86499876,1129.0157
Donepezil,6.271,kidney,58.8718562,55.5137
Donepezil,6.271,muscle,23.75391778,20.3376
Donepezil,6.271,fat,23.03797626,171080.2988
Donepezil,6.271,brain,645.24202708,3081.7684
Donepezil,6.271,gut,740.76388128,413.6185
Donepezil,6.513,blood,1.27420014,1.0
Donepezil,6.513,lung,163.85174643,151.5305
Donepezil,6.513,liver,842.15468866,1129.0157
Donepezil,6.513,kidney,57.67508431,55.5137
Donepezil,6.513,muscle,23.70055489,20.3376
Donepezil,6.513,fat,23.30498107,171080.2988
Donepezil,6.513,brain,651.492729,3081.7684
Donepezil,6.513,gut,722.64315825,413.6185
Donepezil,6.754,blood,1.25163345,1.0
Donepezil,6.754,lung,160.21004182,151.5305
Donepezil,6.754,liver,845.19432909,1129.0157
Donepezil,6.754,kidney,56.58185116,55.5137
Donepezil,6.754,muscle,23.64097101,20.3376
Donepezil,6.754,fat,23.56709961,171080.2988
Donepezil,6.754,brain,657.58438662,3081.7684
Donepezil,6.754,gut,705.11672439,413.6185
Donepezil,6.995,blood,1.23079709,1.0
Donepezil,6.995,lung,156.91033312,151.5305
Donepezil,6.995,liver,848.00352041,1129.0157
Donepezil,6.995,kidney,55.57768321,55.5137
Donepezil,6.995,muscle,23.57585284,20.3376
Donepezil,6.995,fat,23.8247167,171080.2988
Donepezil,6.995,brain,663.52870111,3081.7684
