Drug,Hour,Organ,Conc_umol_L,Kp
Lecanemab,4.583,lung,10.13558127,0.8443
Lecanemab,4.583,liver,9.47532871,0.789
Lecanemab,4.583,kidney,10.48460599,0.8734
Lecanemab,4.583,muscle,11.00233425,0.9034
Lecanemab,4.583,fat,8.1244863,0.6662
Lecanemab,4.583,brain,9.16175774,0.7628
Lecanemab,4.583,gut,9.79943512,0.8162
Lecanemab,4.824,blood,14.91258181,1.0
Lecanemab,4.824,lung,10.07348201,0.8443
Lecanemab,4.824,liver,9.41727195,0.789
Lecanemab,4.824,kidney,10.42036721,0.8734
Lecanemab,4.824,muscle,10.93485902,0.9034
Lecanemab,4.824,fat,8.07484259,0.6662
Lecanemab,4.824,brain,9.10562219,0.7628
Lecanemab,4.824,gut,9.73939277,0.8162
Lecanemab,5.065,blood,14.82121031,1.0
Lecanemab,5.065,lung,10.01176771,0.8443
Lecanemab,5.065,liver,9.35957238,0.789
Lecanemab,5.065,kidney,10.35652554,0.8734
Lecanemab,5.065,muscle,10.86781924,0.9034
Lecanemab,5.065,fat,8.0254593,0.6662
Lecanemab,5.065,brain,9.04983198,0.7628
Lecanemab,5.065,gut,9.67971999,0.8162
Lecanemab,5.307,blood,14.73041101,1.0
Lecanemab,5.307,lung,9.95039799,0.8443
Lecanemab,5.307,liver,9.30222587,0.789
Lecanemab,5.307,kidney,10.29305289,0.8734
Lecanemab,5.307,muscle,10.80120496,0.9034
Lecanemab,5.307,fat,7.97634921,0.6662
Lecanemab,5.307,brain,8.99438362,0.7628
Lecanemab,5.307,gut,9.62041011,0.8162
Lecanemab,5.548,blood,14.6401578,1.0
Lecanemab,5.548,lung,9.88943995,0.8443
Lecanemab,5.548,liver,9.2452327,0.789
Lecanemab,5.548,kidney,10.22999327,0.8734
Lecanemab,5.548,muscle,10.73500875,0.9034
Lecanemab,5.548,fat,7.92752036,0.6662
Lecanemab,5.548,brain,8.93927644,0.7628
Lecanemab,5.548,gut,9.56146792,0.8162
Lecanemab,5.789,blood,14.55046188,1.0
Lecanemab,5.789,lung,9.82884421,0.8443
Lecanemab,5.789,liver,9.18858866,0.789
Lecanemab,5.789,kidney,10.16731267,0.8734
Lecanemab,5.789,muscle,10.66922476,0.9034
Lecanemab,5.789,fat,7.87897748,0.6662
Lecanemab,5.789,brain,8.88450701,0.7628
Lecanemab,5.789,gut,9.50288606,0.8162
Lecanemab,6.03,blood,14.46131334,1.0
Lecanemab,6.03,lung,9.7686281,0.8443
Lecanemab,6.03,liver,9.13229227,0.789
Lecanemab,6.03,kidney,10.10502181,0.8734
Lecanemab,6.03,muscle,10.60384827,0.9034
Lecanemab,6.03,fat,7.83072317,0.6662
Lecanemab,6.03,brain,8.8300736,0.7628
Lecanemab,6.03,gut,9.44466424,0.8162
Lecanemab,6.271,blood,14.37271008,1.0
Lecanemab,6.271,lung,9.70878489,0.8443
Lecanemab,6.271,liver,9.07634112,0.789
Lecanemab,6.271,kidney,10.04311532,0.8734
Lecanemab,6.271,muscle,10.53887532,0.9034
Lecanemab,6.271,fat,7.78275857,0.6662
Lecanemab,6.271,brain,8.77597397,0.7628
Lecanemab,6.271,gut,9.38679973,0.8162
Lecanemab,6.513,blood,14.28465098,1.0
Lecanemab,6.513,lung,9.64930493,0.8443
Lecanemab,6.513,liver,9.02073276,0.789
Lecanemab,6.513,kidney,9.98158589,0.8734
Lecanemab,6.513,muscle,10.47430245,0.9034
Lecanemab,6.513,fat,7.73508385,0.6662
Lecanemab,6.513,brain,8.72220583,0.7628
Lecanemab,6.513,gut,9.32928948,0.8162
Lecanemab,6.754,blood,14.19712812,1.0
Lecanemab,6.754,lung,9.59020017,0.8443
Lecanemab,6.754,liver,8.96546559,0.789
Lecanemab,6.754,kidney,9.92044069,0.8734
Lecanemab,6.754,muscle,10.41012656,0.9034
Lecanemab,6.754,fat,7.68769856,0.6662
Lecanemab,6.754,brain,8.66876745,0.7628
Lecanemab,6.754,gut,9.2721328,0.8162
Lecanemab,6.995,blood,14.11014567,1.0
Lecanemab,6.995,lung,9.53144469,0.8443
Lecanemab,6.995,liver,8.91053658,0.789
Lecanemab,6.995,kidney,9.85966153,0.8734
Lecanemab,6.995,muscle,10.34634474,0.9034
Lecanemab,6.995,fat,7.64060179,0.6662
Lecanemab,6.995,brain,8.61565621,0.7628
Lecanemab,6.995,gut,9.215325,0.8162
Lecanemab,7.236,blood,14.02369782,1.0
Lecanemab,7.236,lung,9.47304415,0.8443
Lecanemab,7.236,liver,8.85594394,0.789
